approach,class,ACC,PPV,TPR,TNR,F1,AP,ROC_AUC,MCC,NDCG,NDCG_top10
matrix_minmax_optimized,AircraftBuoyant,0.9992005364142768,0.075,0.1071428571428571,0.9995227284453846,0.1283422459893048,0.1194252933073211,0.4832163501238645,0.0892497394540024,0.3762477247724957,0.1409608616217151
matrix_minmax_optimized,Apartment,0.999201657681578,0.0739130434782608,0.1055900621118012,0.9995221687666824,0.1818181818181818,0.1747811832315175,0.6404037676249397,0.0879514009468648,0.4094383628678353,0.1049968576209368
matrix_minmax_optimized,AquaticAnimal,0.999266851366088,0.1392857142857143,0.1989795918367347,0.9995558978970568,0.2867647058823529,0.3013813319979549,0.7801933083053415,0.1661195654942988,0.4576659076297545,0.1569975598780073
matrix_minmax_optimized,Bed,0.9993065584668638,0.1703703703703704,0.2495590828924162,0.9995719398773724,0.2483288770053476,0.337303969491974,0.7051636551843935,0.2057769208183625,0.467973076428081,0.1938202767361827
matrix_minmax_optimized,Bicycle,0.9998274110869532,0.7538461538461539,0.8736263736263736,0.9998729899321828,0.8380598555211559,1.910056541930628,0.93757048092869,0.8096745983861257,0.8156727698427857,0.8041246855836589
matrix_minmax_optimized,Biplane,0.9993604291314214,0.2311111111111111,0.326984126984127,0.9996032768596974,0.3384168482207698,0.8345182791151752,0.8157688460028619,0.2745469450146766,0.5752425061368721,0.2752774462789783
matrix_minmax_optimized,Bird,0.9992563129435134,0.127906976744186,0.1843853820598006,0.9995500272517676,0.2164215686274509,0.3541794452639068,0.6217308577069708,0.153182347024346,0.4731846553732435,0.1721407645013829
matrix_minmax_optimized,Bookset,0.9993294821539096,0.2,0.2857142857142857,0.9995872246014136,0.2941176470588235,0.3303514748126729,0.7521048278263898,0.2387188456434675,0.4879226134317829,0.2393863139343247
matrix_minmax_optimized,Bottle,0.9993415170896086,0.21,0.3,0.9995923851812644,0.3529411764705882,0.4991186443103309,0.7107820674380417,0.2506774419910824,0.5107557174284268,0.2578136855571202
matrix_minmax_optimized,BuildingNonResidential,0.9992042205782664,0.0714285714285714,0.1043083900226757,0.9995208892475432,0.1694677871148459,0.2376720053287328,0.5457782424831163,0.08589590840048,0.4296673353937669,0.08632914039173
matrix_minmax_optimized,Bus,0.9992160099030328,0.08,0.1154761904761904,0.9995253134827312,0.2099673202614379,0.1440879724269033,0.7286785512167515,0.0957137834380399,0.3895594243933271,0.084863796990291
matrix_minmax_optimized,Car,0.99953695440015,0.4191011235955056,0.5411985018726592,0.9997002749107712,0.5160017114924809,2.7101602005775587,0.8169806681042636,0.4746129641029197,0.6790081244221897,0.4492552284521109
matrix_minmax_optimized,Cellphone,0.999259851454508,0.13,0.1857142857142857,0.9995511080850902,0.2039215686274509,0.206147888494607,0.646866701493187,0.1550177479560535,0.4283203678051273,0.1689988325596906
matrix_minmax_optimized,Chess,0.9994731645495004,0.338095238095238,0.4829931972789115,0.9996584781314328,0.451510333863275,0.8660301320698333,0.7771779911932197,0.4038473828521559,0.5937149421945043,0.4287850125584848
matrix_minmax_optimized,City,0.9993199306176406,0.1888888888888888,0.2751322751322751,0.9995814920041528,0.2518382352941176,0.3406089236944698,0.7073633311708799,0.2275622121369703,0.4837653337028906,0.2562492518611785
matrix_minmax_optimized,ClassicPiano,0.9992289044769962,0.095,0.1392857142857143,0.9995330514241914,0.1881127450980392,0.1345601393539033,0.5826106830351312,0.1146062196455153,0.3890536558269721,0.1308319860720679
matrix_minmax_optimized,Computer,0.9993232302392608,0.1939393939393939,0.277056277056277,0.9995840975150608,0.2689075630252101,0.3684717464731565,0.6133142758142758,0.2314718586767056,0.493127018041985,0.2708354613403723
matrix_minmax_optimized,ComputerKeyboard,0.9996105838663092,0.495,0.6297619047619047,0.9997394369935944,0.6894269220846233,0.9811753943606794,0.8990542423055157,0.5567253130833099,0.6728898424380068,0.5246341087084277
matrix_minmax_optimized,Cup,0.9992452376040164,0.1133333333333333,0.1682539682539682,0.9995425092187774,0.2387543252595155,0.2117753772548082,0.6148041012716233,0.1376441228919474,0.422522508534856,0.1367302120635339
matrix_minmax_optimized,DeskLamp,0.999211351218246,0.0838709677419354,0.1221198156682027,0.999527306193062,0.2369909502262443,0.2245909390019811,0.6511835998052277,0.1007851080505616,0.4215105214979837,0.1065058738315988
matrix_minmax_optimized,DeskPhone,0.999236641221374,0.11,0.1571428571428571,0.9995407873690728,0.1990950226244343,0.1402100245478927,0.7059814548778894,0.1311010891870526,0.3967139887608485,0.1194923061330902
matrix_minmax_optimized,Door,0.9993736921217836,0.2428571428571428,0.3469387755102041,0.9996093375691952,0.3076923076923077,0.5439289913318204,0.5284928520045993,0.2899653963369984,0.5247721135080708,0.3398896703782876
matrix_minmax_optimized,Drum,0.9992856406024344,0.155,0.225,0.99956400691698,0.3057598039215686,0.2254148402275099,0.7437965260545906,0.1863481870590856,0.4255380296741239,0.1495596714310395
matrix_minmax_optimized,Fish,0.9997524241799052,0.65,0.8142857142857143,0.9998194096981252,0.7189026487788098,1.3645813879196846,0.9628531626833836,0.7253569303063514,0.7953415383193917,0.6999358363425126
matrix_minmax_optimized,FloorLamp,0.9991623684753456,0.036,0.0514285714285714,0.9995026067095456,0.1512605042016806,0.0890955420035475,0.6120044205000691,0.0426166597458385,0.360900040770255,0.0421854576124716
matrix_minmax_optimized,Glasses,0.9993729165083124,0.2421052631578947,0.3458646616541353,0.999608949622392,0.3865546218487394,0.4403330839941399,0.8322212793938822,0.2890663340441294,0.5424112953172248,0.3219348389881657
