approach,class,AP,ROC_AUC,ROC_AUC_micro,F1,MCC
matrix_minmax_optimized,AircraftBuoyant,0.11942529330732116,0.48321635012386455,0.4853312947288742,0.1283422459893048,0.08924973945400244
matrix_minmax_optimized,Apartment,0.17478118323151756,0.6404037676249397,0.6247877926845626,0.18181818181818182,0.08795140094686489
matrix_minmax_optimized,AquaticAnimal,0.30138133199795497,0.7801933083053415,0.7737228824217561,0.2867647058823529,0.1661195654942988
matrix_minmax_optimized,Bed,0.33730396949197405,0.7051636551843935,0.6944038410004584,0.2483288770053476,0.2057769208183625
matrix_minmax_optimized,Bicycle,1.9100565419306281,0.9375704809286899,0.9322304650318427,0.8380598555211559,0.8096745983861257
matrix_minmax_optimized,Biplane,0.8345182791151752,0.8157688460028619,0.7924181031187578,0.3384168482207698,0.27454694501467664
matrix_minmax_optimized,Bird,0.3541794452639068,0.6217308577069708,0.6049625973656454,0.21642156862745096,0.15318234702434608
matrix_minmax_optimized,Bookset,0.3303514748126729,0.7521048278263898,0.7319484349832397,0.2941176470588235,0.23871884564346754
matrix_minmax_optimized,Bottle,0.49911864431033093,0.7107820674380417,0.6813095238095238,0.3529411764705882,0.2506774419910824
matrix_minmax_optimized,BuildingNonResidential,0.23767200532873284,0.5457782424831163,0.5420401483068354,0.16946778711484592,0.08589590840048003
matrix_minmax_optimized,Bus,0.1440879724269033,0.7286785512167515,0.7191980105350224,0.2099673202614379,0.0957137834380399
matrix_minmax_optimized,Car,2.7101602005775587,0.8169806681042636,0.8124827665260707,0.5160017114924809,0.4746129641029197
matrix_minmax_optimized,Cellphone,0.206147888494607,0.646866701493187,0.6462730181533238,0.20392156862745098,0.15501774795605355
matrix_minmax_optimized,Chess,0.8660301320698333,0.7771779911932197,0.7635072012707794,0.451510333863275,0.4038473828521559
matrix_minmax_optimized,City,0.3406089236944698,0.7073633311708799,0.6754529412101958,0.25183823529411764,0.22756221213697037
matrix_minmax_optimized,ClassicPiano,0.13456013935390335,0.5826106830351312,0.575144312393888,0.1881127450980392,0.11460621964551532
matrix_minmax_optimized,Computer,0.3684717464731565,0.6133142758142758,0.5891629630265995,0.2689075630252101,0.2314718586767056
matrix_minmax_optimized,ComputerKeyboard,0.9811753943606794,0.8990542423055157,0.8750598580819293,0.6894269220846233,0.5567253130833099
matrix_minmax_optimized,Cup,0.21177537725480827,0.6148041012716233,0.6116547969094079,0.23875432525951557,0.13764412289194747
matrix_minmax_optimized,DeskLamp,0.2245909390019811,0.6511835998052277,0.6196043134106629,0.23699095022624433,0.10078510805056161
matrix_minmax_optimized,DeskPhone,0.14021002454789275,0.7059814548778894,0.6828164860040921,0.19909502262443438,0.13110108918705268
matrix_minmax_optimized,Door,0.5439289913318204,0.5284928520045993,0.497163097631794,0.3076923076923077,0.28996539633699847
matrix_minmax_optimized,Drum,0.22541484022750996,0.7437965260545906,0.7478272604588394,0.3057598039215686,0.18634818705908565
matrix_minmax_optimized,Fish,1.3645813879196846,0.9628531626833835,0.9631307953506595,0.7189026487788098,0.7253569303063514
matrix_minmax_optimized,FloorLamp,0.08909554200354751,0.6120044205000691,0.5886310263848599,0.15126050420168066,0.04261665974583851
matrix_minmax_optimized,Glasses,0.44033308399413995,0.8322212793938822,0.8227237152882352,0.38655462184873945,0.28906633404412946
matrix_minmax_optimized,Guitar,0.25442567595167953,0.862095685864786,0.8570351747855992,0.2549019607843137,0.15501774795605355
matrix_minmax_optimized,Gun,0.5898871833828901,0.6875130269893801,0.6682178228322433,0.23546122994652405,0.1811585268393981
matrix_minmax_optimized,Hand,0.9755759790281207,0.8128232355637603,0.7936910198355317,0.4894232467761879,0.4972885425307884
matrix_minmax_optimized,Hat,0.15789540590910142,0.7845724505237506,0.7686774233699533,0.2235294117647059,0.15103030334564804
matrix_minmax_optimized,Helicopter,1.260059424041396,0.8238872323122797,0.8089908315692443,0.4406539312902888,0.40292473548893176
matrix_minmax_optimized,House,0.37598025928937767,0.5560802514016124,0.563752758090927,0.25,0.1819477732849385
matrix_minmax_optimized,HumanHead,3.1338192342356934,0.9106258573810756,0.8952719064740495,0.7503345373237015,0.7420965573277521
matrix_minmax_optimized,Humanoid,5.387528625278225,0.7759542682491768,0.7558986042869162,0.68789035625215,0.6241034440929932
matrix_minmax_optimized,Insect,0.7542448179124165,0.6687038072546921,0.6400884612891079,0.2802139037433155,0.24055895826693371
matrix_minmax_optimized,Jet,4.259415288862527,0.7775396584475138,0.7452900013871565,0.5423024707405395,0.5205542150868562
matrix_minmax_optimized,Knife,0.2559288785444432,0.8156541551096863,0.7893869146964766,0.226890756302521,0.13409047131084198
matrix_minmax_optimized,MilitaryVehicle,0.6261529848254351,0.8924339384441252,0.8888247137695355,0.45424836601307184,0.4159371933543242
matrix_minmax_optimized,Monitor,0.090037661688076,0.4822254146532584,0.497756301423534,0.16176470588235295,0.06533468246368804
